dataset_id,position,signature,count,example
d319c2a22ecf4ce59db1a18ae71d529c,outcomes[].analyses{}.instrument_last_calibrated,,264,
d319c2a22ecf4ce59db1a18ae71d529c,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",144,"9/22/2020, 9:08:13 AM"
d319c2a22ecf4ce59db1a18ae71d529c,provenance.record_created.time,"N/NN/NNNN, NN:NN:NN AP",120,"9/22/2020, 10:10:54 AM"
d319c2a22ecf4ce59db1a18ae71d529c,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,264,Tue Sep 29 18:03:20 2020
d319c2a22ecf4ce59db1a18ae71d529c,provenance.record_modified[].time,"NN/NN/NNNN, NN:NN:NN",144,"01/16/2021, 17:42:35"
d319c2a22ecf4ce59db1a18ae71d529c,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,648,2020-12-20 08:15:50.108349
d92976309c3a48a3a64a4cf5e7048086,outcomes[].analyses{}.instrument_last_calibrated,,39347,
d92976309c3a48a3a64a4cf5e7048086,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",39347,"07/06/2024, 23:25:41"
d92976309c3a48a3a64a4cf5e7048086,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,39347,Thu Jul 11 12:04:50 2024
dc0249930af34d17a3c76881a762aebf,outcomes[].analyses{}.instrument_last_calibrated,,136,
dc0249930af34d17a3c76881a762aebf,provenance.record_created.time,NNNN-NN-NNWNN:NN:NN,136,2026-03-18T12:21:54
dc0249930af34d17a3c76881a762aebf,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,136,Wed Apr  8 14:32:09 2026
e7830cd6b11158b43994ccfb5ee9acb3,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",409035,"02/17/2021, 15:22:15"
e7830cd6b11158b43994ccfb5ee9acb3,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,818070,Wed Feb 17 23:08:04 2021
e7830cd6b11158b43994ccfb5ee9acb3,provenance.record_modified[].time,NNNN-NN-NN NN:NN:NN.NNNNNN,409035,2021-11-05 15:37:37.034278
eeba974d3c284aed86d1c1d442260a1e,outcomes[].analyses{}.instrument_last_calibrated,,376,
eeba974d3c284aed86d1c1d442260a1e,provenance.record_created.time,"N/NN/NNNN, N:NN:NN AP",376,"7/21/2022, 5:21:42 PM"
eeba974d3c284aed86d1c1d442260a1e,provenance.record_modified[].time,DAY MON  N NN:NN:NN NNNN,376,Thu Dec  1 15:51:22 2022
fc83743b978f4deea7d6856deacbfe53,outcomes[].analyses{}.instrument_last_calibrated,,80,
fc83743b978f4deea7d6856deacbfe53,provenance.record_created.time,"NN/NN/NNNN, NN:NN:NN",80,"07/21/2021, 15:10:03"
fc83743b978f4deea7d6856deacbfe53,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,80,Wed Jul 28 20:27:30 2021
fc83743b978f4deea7d6856deacbfe53,provenance.record_modified[].time,"NN/NN/NNNN, NN:NN:NN",80,"07/21/2021, 15:10:03"
feaf1b793c6d408aaec1cac7cc3ceadc,outcomes[].analyses{}.instrument_last_calibrated,,195,
feaf1b793c6d408aaec1cac7cc3ceadc,provenance.record_created.time,NNNN-NN-NN,130,2024-09-16
feaf1b793c6d408aaec1cac7cc3ceadc,provenance.record_modified[].time,DAY MON NN NN:NN:NN NNNN,130,Mon Sep 16 16:20:13 2024
